Immatriculation,Sous activité,Genre
CH7132,F.M.   ZL,SREM
PN 9902,Plateaux,SREM
BX7017,F.M.   ZL,SREM
XF8831,Plateaux,SREM
BR-708-BH,Benne céréalière,SREM
CX-109-PW,Inconnue,SREM
CX-971-PV,Benne TP,BEN
2908 SW 88,Benne 70,BEN
BX-599-ZK,Tautl.  ZL,TAUT
BX-441-ZK,Tautl.  ZL,TAUT
BR-065-BJ,Benne TP,SREM
DP-767-FP,TAUT dédiée,TAUT
CN-351-TH,Citerne PB,SREM
6681 QD 62,Plateau dédié,SREM
SZ5082,Plateaux,SREM
SZ5084,Plateaux,SREM
GB9614,Plateaux,SREM
VF4533,F.M.   ZL,SREM
CE-575-YR,Tautl.  ZC,TAUT
CE-051-KS,Citerne PB,SREM
CZ-502-EM,Benne TP,SREM
AM-810-VT,Location externe,SREM
BX-857-ZJ,Inconnue,TAUT
BX-857-ZJ,Affectation Alsace,TAUT
BX-879-ZK,TAUT dédiée,TAUT
SZ5083,Plateaux,SREM
XF8833,Plateaux,SREM
XN8243,Plateaux,SREM
VF4532,F.M.   ZL,SREM
SZ5085,Plateaux,SREM
YC6001,Plateaux,SREM
XF5103,Tracteur Grue,SREM
XF5106,Tracteur Grue,SREM
XF5101,Tracteur Grue,SREM
XF5107,Tracteur Grue,SREM
2911 SW 88,Benne TP,BEN
2909 SW 88,Benne TP,BEN
BM-011-EY,Benne ferraille,SREM
DK-788-YS,Navettes,SREM
CV-813-WN,Tautl.  ZL,TRR
707 DKM 59,Inconnue,CAM
135 ENY 91,Inconnue,CAM
DC-569-LM,Porteur < 19T,CAM
DD-147-HX,,CAM
DF-148-GN,F.M.   ZC,SREM
DF-339-MN,Citerne PN,TRR
DF-355-MN,Tautl.  ZL,TRR
DF-359-MN,Tautl.  ZL,TRR
DF-349-MN,Tautl.  ZC,TRR
DF-949-ZW,Frigo double poste,TRR
DF-703-ZW,TAUT double poste,TRR
DF-229-ZX,TAUT dédiée,TRR
DF-400-ZW,TAUT double poste,TRR
DG-952-CC,Ampliroll,CAM
DJ-275-PK,TAUT double poste,TRR
DJ-280-PK,Tautl.  ZC,TRR
DJ-283-PK,Organisation dédiée,TRR
DJ-271-PK,F.M.   ZC,TRR
DL-524-BN,F.M.   ZC,SREM
DL-431-CA,F.M.   ZC,SREM
FX5404,Plateaux,TRR
PNT38102,Affectation SA,TRR
AR-852-JR,Benne TP,BEN
PNT38103,Affectation SA,TRR
PNT38107,Affectation SA,TRR
PNT38108,Affectation SA,TRR
PNT38109,Affectation SA,TRR
EB-797-GY,TAUT dédiée,SREM
PNT38110,Affectation SA,TRR
CK-432-TY,Plateaux,SREM
BN-696-FG,F.M.   ZL,SREM
BN-017-FH,F.M.   ZL,SREM
CD-869-NV,Citerne PN,SREM
CK-543-GY,Plateaux,SREM
CB-870-ZD,Tautl.  ZC,SREM
CZ-103-PL,Plateaux,TAUT
BM-887-EX,Benne TP,SREM
CF-796-ZD,TAUT double poste,SREM
CF-205-ZD,Tautl.  ZL,SREM
CC-509-AT,Benne TP,SREM
CP-567-WH,Inconnue,SREM
CP-750-WH,F.M.   ZC,SREM
CP-007-WJ,F.M.   ZC,SREM
CQ-350-AK,F.M.   ZC,SREM
CQ-525-AK,F.M.   ZC,SREM
CQ-660-AK,F.M.   ZC,SREM
CM-044-QB,Benne TP,SREM
BQ-894-SD,F.M.   ZL,SREM
XF8832,Plateaux,SREM
CA-874-HX,F.M.   ZC,SREM
CA-965-HX,F.M.   ZC,SREM
CN-296-SA,Plateau dédié,SREM
CN-050-GN,Navettes,SREM
AM-909-VH,Inconnue,TAUT
BY-548-HG,Tautl.  ZL,SREM
DB-019-MY,Benne TP,BEN
BP-973-WB,,BEN
CK-237-CC,Citerne déchets,SREM
BX-857-ZJ,Tautl.  ZL,TAUT
BJ-039-JS,F.M.   ZC,SREM
BV-178-QJ,F.M.   ZC,SREM
BV-941-QH,F.M.   ZL,SREM
